1,20,19.28,8.06,0,kevin-young-5,brigham-young,2025,central-arkansas
1,167,7.857,1.869,3,darian-devries-1,west-virginia,2025,robert-morris
22,482,13.479,8.028,12,scott-drew-1,baylor,2025,gonzaga
9,503,14.597,8.192,15,jamie-dixon-1,texas-christian,2025,florida-am
4,265,1.576,-0.399,2,wes-miller-1,cincinnati,2025,arkansas-pine-bluff
4,218,6.86,2.538,2,craig-smith-2,utah,2025,alcorn-state
3,58,12.65,9.577,1,jerome-tang-1,kansas-state,2025,new-orleans
9,319,9.336,6.542,2,johnny-dawkins-1,central-florida,2025,texas-am
1,83,-0.315,-2.195,3,steve-lutz-1,oklahoma-state,2025,green-bay
10,210,8.639,7.23,4,bobby-hurley-1,arizona-state,2025,idaho-state
15,361,8.701,5.434,6,tad-boyle-1,colorado,2025,eastern-washington
2,879,15.126,5.414,23,rick-pitino-1,st-johns-ny,2025,fordham
15,494,10.963,6.499,12,greg-mcdermott-1,creighton,2025,texas-pan-american
4,368,13.811,7.721,11,shaka-smart-1,marquette,2025,stony-brook
7,311,10.539,4.322,6,dan-hurley-1,connecticut,2025,sacred-heart
3,483,15.082,6.732,12,sean-miller-1,xavier,2025,texas-southern
3,68,9.515,6.405,0,kyle-neptune-1,villanova,2025,lafayette
2,359,6.856,4.931,7,ed-cooley-1,georgetown,2025,lehigh
3,484,15.472,7.371,13,thad-matta-1,butler,2025,missouri-state
2,67,6.66,4.91,0,kim-english-1,providence,2025,central-connecticut-state
3,113,0.807,0.71,1,shaheen-holloway-1,seton-hall,2025,saint-peters
1,262,10.394,6.384,7,chris-holtmann-1,depaul,2025,southern-indiana
11,221,-1.025,-3.205,2,travis-decuire-1,montana,2025,
5,85,-3.852,-3.394,0,steve-smiley-1,northern-colorado,2025,
4,59,-6.028,-3.94,0,jase-coburn-1,portland-state,2025,washington-state
6,66,-8.207,-3.962,0,ryan-looney-1,idaho-state,2025,arizona-state
2,23,-9.065,-3.65,0,alex-pribble-1,idaho,2025,
2,29,-3.865,-3.055,1,matt-logie-1,montana-state,2025,wisconsin
6,73,-8.885,-3.012,0,shane-burcar-1,northern-arizona,2025,
1,455,1.83,2.653,4,dan-monson-1,eastern-washington,2025,colorado
3,48,-4.257,-2.57,0,eric-duft-1,weber-state,2025,
1,7,-13.16,-3.48,0,michael-czepil-1,sacramento-state,2025,
2,53,3.76,-5.28,0,alan-huss-1,high-point,2025,coppin-state
7,115,-7.101,-5.007,1,mike-morrell-1,north-carolina-asheville,2025,alabama
4,111,-4.279,-2.529,0,mark-prosser-1,winthrop,2025,
4,66,-4.898,-3.552,0,darris-nichols-1,radford,2025,pittsburgh
7,126,-5.181,-6.289,2,griff-aldrich-1,longwood,2025,
6,61,-10.97,-5.717,0,quinton-ferrell-1,presbyterian,2025,charlotte
2,18,-10.95,-1.73,0,saah-nimley-1,charleston-southern,2025,clemson
1,10,-7.57,-3.17,0,jeremy-luther-1,gardner-webb,2025,tennessee
1,6,-14.73,-2.17,0,marty-richter-1,south-carolina-upstate,2025,north-carolina-state
30,730,17.488,9.524,26,tom-izzo-1,michigan-state,2025,monmouth
1,147,6.509,1.224,2,dusty-may-1,michigan,2025,cleveland-state
10,208,15.633,10.259,6,greg-gard-1,wisconsin,2025,holy-cross
3,329,9.793,6.326,6,kevin-willard-1,maryland,2025,manhattan
6,500,12.271,5.528,14,mick-cronin-1,ucla,2025,rider
20,491,16.022,8.6,16,matt-painter-1,purdue,2025,texas-am-corpus-christi
8,270,14.207,6.2,8,brad-underwood-1,illinois,2025,eastern-illinois
15,775,10.224,5.436,16,dana-altman-1,oregon,2025,california-riverside
4,80,12.488,9.565,2,mike-woodson-1,indiana,2025,southern-illinois-edwardsville
2,24,16.295,10.555,0,jake-diebler-1,ohio-state,2025,texas
6,195,10.911,8.656,5,fred-hoiberg-1,nebraska,2025,texas-pan-american
9,338,2.262,0.834,3,steve-pikiell-1,rutgers,2025,wagner
