Seed1,Team1,Team1_id,Score1,Seed2,Team2,Team2_id,Score2,Winner,Winner_id,Year
11,NC State,152,79.0,6,San Diego St,21,65.0,1,152,2012
14,Belmont,2057,59.0,3,Georgetown,46,74.0,0,46,2012
10,Purdue,2509,72.0,7,Saint Mary's,2608,69.0,1,2509,2012
15,Detroit Mercy,2174,50.0,2,Kansas,2305,65.0,0,2305,2012
8,Iowa State,66,71.0,1,Kentucky,96,87.0,0,96,2012
12,VCU,2670,61.0,4,Indiana,84,63.0,0,84,2012
11,Colorado,38,63.0,3,Baylor,239,80.0,0,239,2012
15,Lehigh,2329,58.0,10,Xavier,2752,70.0,0,2752,2012
9,Saint Louis,139,61.0,1,Michigan St,127,65.0,0,127,2012
5,New Mexico,167,56.0,4,Louisville,97,59.0,0,97,2012
6,Murray St,93,53.0,3,Marquette,269,62.0,0,269,2012
15,Norfolk St,2450,50.0,7,Florida,57,84.0,0,57,2012
8,Kansas St,2306,59.0,1,Syracuse,183,75.0,0,183,2012
5,Vanderbilt,238,57.0,4,Wisconsin,275,60.0,0,275,2012
6,Cincinnati,2132,62.0,3,Florida St,52,56.0,1,2132,2012
7,Gonzaga,2250,66.0,2,Ohio State,194,73.0,0,194,2012
8,Creighton,156,73.0,1,North Carolina,153,87.0,0,153,2012
13,Ohio,195,62.0,12,South Florida,58,56.0,1,195,2012
11,NC State,152,66.0,3,Georgetown,46,63.0,1,152,2012
10,Purdue,2509,60.0,2,Kansas,2305,63.0,0,2305,2012
4,Indiana,84,90.0,1,Kentucky,96,102.0,0,96,2012
10,Xavier,2752,70.0,3,Baylor,239,75.0,0,239,2012
4,Louisville,97,57.0,1,Michigan St,127,44.0,1,97,2012
7,Florida,57,68.0,3,Marquette,269,58.0,1,57,2012
4,Wisconsin,275,63.0,1,Syracuse,183,64.0,0,183,2012
6,Cincinnati,2132,66.0,2,Ohio State,194,81.0,0,194,2012
13,Ohio,195,65.0,1,North Carolina,153,73.0,0,153,2012
11,NC State,152,57.0,2,Kansas,2305,60.0,0,2305,2012
3,Baylor,239,70.0,1,Kentucky,96,82.0,0,96,2012
7,Florida,57,68.0,4,Louisville,97,72.0,0,97,2012
2,Ohio State,194,77.0,1,Syracuse,183,70.0,1,194,2012
2,Kansas,2305,80.0,1,North Carolina,153,67.0,1,2305,2012
4,Louisville,97,61.0,1,Kentucky,96,69.0,0,96,2012
2,Ohio State,194,62.0,2,Kansas,2305,64.0,0,2305,2012
2,Kansas,2305,59.0,1,Kentucky,96,67.0,0,96,2012
16,NC A&T,2448,48.0,1,Louisville,97,79.0,0,97,2013
9,Missouri,142,72.0,8,Colorado St,36,84.0,0,36,2013
12,Oregon,2483,68.0,5,Oklahoma St,197,55.0,1,2483,2013
13,New Mexico St,166,44.0,4,Saint Louis,139,64.0,0,139,2013
11,Saint Mary's,2608,52.0,6,Memphis,235,54.0,0,235,2013
14,Valparaiso,2674,54.0,3,Michigan St,127,65.0,0,127,2013
10,Cincinnati,2132,63.0,7,Creighton,156,67.0,0,156,2013
15,UAlbany,399,61.0,2,Duke,150,73.0,0,150,2013
16,Southern,2582,58.0,1,Gonzaga,2250,64.0,0,2250,2013
9,Wichita St,2724,73.0,8,Pitt,221,55.0,1,2724,2013
12,Ole Miss,145,57.0,5,Wisconsin,275,46.0,1,145,2013
13,La Salle,2325,63.0,4,Kansas St,2306,61.0,1,2325,2013
11,Belmont,2057,64.0,6,Arizona,12,81.0,0,12,2013
14,Harvard,108,68.0,3,New Mexico,167,62.0,1,108,2013
10,Iowa State,66,76.0,7,Notre Dame,87,58.0,1,66,2013
15,Iona,314,70.0,2,Ohio State,194,95.0,0,194,2013
16,Western KY,98,57.0,1,Kansas,2305,64.0,0,2305,2013
9,Villanova,222,71.0,8,North Carolina,153,78.0,0,153,2013
12,Akron,2006,42.0,5,VCU,2670,88.0,0,2670,2013
13,S Dakota St,2571,56.0,4,Michigan,130,71.0,0,130,2013
11,Minnesota,135,83.0,6,UCLA,26,63.0,1,135,2013
14,N'Western St,2466,47.0,3,Florida,57,79.0,0,57,2013
10,Oklahoma,201,55.0,7,San Diego St,21,70.0,0,21,2013
15,FGCU,526,78.0,2,Georgetown,46,68.0,1,526,2013
16,James Madison,256,62.0,1,Indiana,84,83.0,0,84,2013
9,Temple,218,76.0,8,NC State,152,72.0,1,218,2013
12,California,25,64.0,5,UNLV,2439,61.0,1,25,2013
13,Montana,149,34.0,4,Syracuse,183,81.0,0,183,2013
11,Bucknell,2083,56.0,6,Butler,2086,68.0,0,2086,2013
14,Davidson,2166,58.0,3,Marquette,269,59.0,0,269,2013
10,Colorado,38,49.0,7,Illinois,356,57.0,0,356,2013
15,Pacific,279,49.0,2,Miami,2390,78.0,0,2390,2013
