Avg_Height,Avg_Weight,Avg_Year,CP,LP,GP,BP,Year,ID
6.544871794871795,205.92307692307693,2.111111111111111,0.05548,0.318,0.62652,0.2110960757780784,2011,41
6.431372549019607,206.05882352941177,2.0,0.05528,0.54423,0.40049,0.2923832923832924,2011,183
6.46875,217.4375,2.4444444444444446,0.04153,0.37823,0.58025,0.3636363636363636,2011,2306
6.3392857142857135,202.8571428571429,2.4444444444444446,0.0,0.46092,0.53908,0.3436781609195402,2011,112358
6.467948717948717,203.92307692307693,3.111111111111111,0.0647,0.40647,0.52883,0.2250351617440224,2011,2540
6.387254901960784,198.4705882352941,2.888888888888889,0.04444,0.37076,0.5848,0.4678362573099414,2011,333
6.44871794871795,210.7692307692308,2.6666666666666665,0.0,0.23136,0.76864,0.308483290488432,2011,2439
6.392857142857144,200.42857142857144,2.888888888888889,0.1144,0.32974,0.55585,0.2624495289367429,2011,2086
6.422222222222223,203.53333333333333,2.7777777777777777,0.0,0.66809,0.33191,0.2780141843971631,2011,245
6.3819444444444455,200.0,3.0,0.01006,0.25287,0.73707,0.2040229885057471,2011,2261
6.444444444444445,217.0,2.555555555555556,0.11895,0.25864,0.62241,0.2572614107883818,2011,127
6.5625,222.3333333333333,2.6666666666666665,0.0,0.41667,0.58333,0.2014925373134328,2011,87
6.46969696969697,211.63636363636363,2.555555555555556,0.0,0.30637,0.69363,0.1710875331564986,2011,222
6.493055555555556,210.5,2.333333333333333,0.25094,0.2809,0.46816,0.3420724094881398,2011,2250
6.451388888888888,211.66666666666663,2.7777777777777777,0.02375,0.35511,0.62114,0.2945368171021378,2011,142
6.371794871794871,207.30769230769232,2.888888888888889,0.01511,0.47527,0.50962,0.2527472527472527,2011,228
6.440476190476191,215.3571428571429,3.333333333333333,0.0,0.47952,0.52048,0.274768824306473,2011,277
6.462121212121212,209.1818181818182,3.333333333333333,0.01937,0.4307,0.54993,0.2414307004470939,2011,295
6.500000000000001,220.0,2.888888888888889,0.04859,0.54604,0.40537,0.272378516624041,2011,21
6.427083333333333,211.5,2.7777777777777777,0.00286,0.6,0.39714,0.1914285714285714,2011,275
6.422619047619048,213.92857142857144,1.6666666666666667,0.0295,0.24779,0.72271,0.2020648967551622,2011,130
6.472222222222221,212.5,2.4444444444444446,0.04576,0.52221,0.43203,0.1816958277254374,2011,57
6.3055555555555545,201.16666666666663,2.7777777777777777,0.0,0.37353,0.62647,0.1612057667103539,2011,251
6.533333333333333,219.7,2.111111111111111,0.0,0.32891,0.67109,0.1405835543766578,2011,96
6.520833333333334,210.4375,2.555555555555556,0.04313,0.56739,0.38949,0.2237196765498652,2011,163
6.5,211.25,2.7777777777777777,0.0,0.36996,0.63004,0.234304932735426,2011,252
6.294871794871795,195.3846153846154,2.6666666666666665,0.0,0.41176,0.58824,0.2202462380300957,2011,30
6.346153846153846,194.6153846153846,2.875,0.01683,0.51613,0.46704,0.2272089761570827,2011,2458
6.455128205128205,207.6153846153846,3.0,0.13261,0.40595,0.46143,0.3599458728010825,2011,2006
6.453125,205.875,2.4444444444444446,0.0404,0.49242,0.46717,0.3914141414141415,2011,52
6.458333333333333,216.25,2.888888888888889,0.01438,0.2915,0.69412,0.2300653594771242,2011,2670
6.340277777777778,198.75,2.4444444444444446,0.0,0.59563,0.40437,0.2677595628415301,2011,104
6.365384615384615,207.3846153846154,2.4444444444444446,0.0,0.31094,0.68906,0.2371541501976284,2011,2509
6.434523809523809,205.07142857142856,2.888888888888889,0.17946,0.27991,0.54063,0.3577878103837471,2011,2305
6.402777777777778,205.16666666666663,2.6666666666666665,0.23311,0.23649,0.53041,0.2297297297297297,2011,2473
6.423611111111112,205.0,2.6666666666666665,0.0,0.45876,0.54124,0.1968162083936324,2011,213
6.463541666666667,211.5625,3.111111111111111,0.15768,0.44675,0.39557,0.2226832641770401,2011,257
6.398809523809524,210.2142857142857,3.4444444444444446,0.00641,0.3141,0.67949,0.2435897435897436,2011,2747
6.41025641025641,210.6153846153846,2.555555555555556,0.0,0.49529,0.50471,0.2395693135935397,2011,2244
6.421875,202.3125,2.111111111111111,0.0,0.58374,0.41626,0.3009708737864078,2011,153
6.5256410256410255,207.30769230769232,2.6666666666666665,0.16418,0.36092,0.4749,0.260515603799186,2011,356
6.388888888888888,209.0833333333333,2.888888888888889,0.0,0.46089,0.53911,0.1578212290502793,2011,61
6.365384615384615,206.53846153846155,2.4444444444444446,0.06746,0.29112,0.64142,0.3573964497041419,2011,97
6.519230769230769,216.92307692307693,2.4444444444444446,0.16109,0.43494,0.40397,0.198265179677819,2011,238
6.458333333333334,217.28571428571428,2.6666666666666665,0.07048,0.30186,0.62766,0.2167553191489361,2011,46
6.453125,213.75,2.888888888888889,0.08651,0.33079,0.5827,0.2900763358778627,2011,2633
6.402777777777778,210.8333333333333,3.333333333333333,0.0,0.444,0.556,0.2906666666666666,2011,328
6.405555555555555,202.4,1.8888888888888888,0.0,0.42579,0.57421,0.4343065693430657,2011,235
6.423076923076923,201.15384615384616,2.555555555555556,0.08856,0.12534,0.7861,0.3896457765667574,2011,282
6.462121212121213,211.3636363636364,2.555555555555556,0.09079,0.35678,0.55243,0.2480818414322251,2011,218
6.345238095238096,210.5,3.4444444444444446,0.0,0.37313,0.62687,0.2510176390773405,2011,2599
6.284722222222222,195.0,2.7777777777777777,0.0,0.42216,0.57784,0.2260479041916167,2011,2612
6.403846153846154,218.46153846153845,2.6666666666666665,0.08145,0.27318,0.64536,0.2832080200501252,2011,269
