Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
11,NC State,152,2,Kansas,2305,0,2305,2012
3,Baylor,239,1,Kentucky,96,0,96,2012
7,Florida,57,4,Louisville,97,0,97,2012
2,Ohio State,194,1,Syracuse,183,1,194,2012
2,Kansas,2305,1,North Carolina,153,1,2305,2012
4,Louisville,97,1,Kentucky,96,0,96,2012
2,Ohio State,194,2,Kansas,2305,0,2305,2012
2,Kansas,2305,1,Kentucky,96,0,96,2012
16,NC A&T,2448,1,Louisville,97,0,97,2013
9,Missouri,142,8,Colorado St,36,0,36,2013
12,Oregon,2483,5,Oklahoma St,197,1,2483,2013
13,New Mexico St,166,4,Saint Louis,139,0,139,2013
11,Saint Mary's,2608,6,Memphis,235,0,235,2013
14,Valparaiso,2674,3,Michigan St,127,0,127,2013
10,Cincinnati,2132,7,Creighton,156,0,156,2013
15,UAlbany,399,2,Duke,150,0,150,2013
16,Southern,2582,1,Gonzaga,2250,0,2250,2013
9,Wichita St,2724,8,Pitt,221,1,2724,2013
12,Ole Miss,145,5,Wisconsin,275,1,145,2013
13,La Salle,2325,4,Kansas St,2306,1,2325,2013
11,Belmont,2057,6,Arizona,12,0,12,2013
14,Harvard,108,3,New Mexico,167,1,108,2013
10,Iowa State,66,7,Notre Dame,87,1,66,2013
15,Iona,314,2,Ohio State,194,0,194,2013
16,Western KY,98,1,Kansas,2305,0,2305,2013
9,Villanova,222,8,North Carolina,153,0,153,2013
12,Akron,2006,5,VCU,2670,0,2670,2013
13,S Dakota St,2571,4,Michigan,130,0,130,2013
11,Minnesota,135,6,UCLA,26,1,135,2013
14,N'Western St,2466,3,Florida,57,0,57,2013
10,Oklahoma,201,7,San Diego St,21,0,21,2013
15,FGCU,526,2,Georgetown,46,1,526,2013
16,James Madison,256,1,Indiana,84,0,84,2013
9,Temple,218,8,NC State,152,1,218,2013
12,California,25,5,UNLV,2439,1,25,2013
13,Montana,149,4,Syracuse,183,0,183,2013
11,Bucknell,2083,6,Butler,2086,0,2086,2013
14,Davidson,2166,3,Marquette,269,0,269,2013
10,Colorado,38,7,Illinois,356,0,356,2013
15,Pacific,279,2,Miami,2390,0,2390,2013
8,Colorado St,36,1,Louisville,97,0,97,2013
12,Oregon,2483,4,Saint Louis,139,1,2483,2013
6,Memphis,235,3,Michigan St,127,0,127,2013
7,Creighton,156,2,Duke,150,0,150,2013
9,Wichita St,2724,1,Gonzaga,2250,1,2724,2013
13,La Salle,2325,12,Ole Miss,145,1,2325,2013
14,Harvard,108,6,Arizona,12,0,12,2013
10,Iowa State,66,2,Ohio State,194,0,194,2013
8,North Carolina,153,1,Kansas,2305,0,2305,2013
5,VCU,2670,4,Michigan,130,0,130,2013
11,Minnesota,135,3,Florida,57,0,57,2013
15,FGCU,526,7,San Diego St,21,1,526,2013
9,Temple,218,1,Indiana,84,0,84,2013
12,California,25,4,Syracuse,183,0,183,2013
6,Butler,2086,3,Marquette,269,0,269,2013
7,Illinois,356,2,Miami,2390,0,2390,2013
12,Oregon,2483,1,Louisville,97,0,97,2013
3,Michigan St,127,2,Duke,150,0,150,2013
13,La Salle,2325,9,Wichita St,2724,0,2724,2013
6,Arizona,12,2,Ohio State,194,0,194,2013
4,Michigan,130,1,Kansas,2305,1,130,2013
15,FGCU,526,3,Florida,57,0,57,2013
