year_BPI,teamId_BPI,BPI_BPI,BPIo_BPI,BPId_BPI,T50_BPI,SOS_BPI,NC_SOS_BPI,Off Eff_BART,Def Eff_BART,Bart_BART,Eff Ofg_BART,Eff Dfg_BART,TurnO_BART,TurnD_BART,RebO_BART,RebD_BART,FT%O_BART,FT%D_BART,2%O_BART,2%D_BART,3%O_BART,3%D_BART,3PRO_BART,3PRD_BART,AdjT_BART,WAB_BART,Team_ID_BART,Year_BART,AdjEM_KEN,AdjO_KEN,AdjD_KEN,AdjT_KEN,Luck_KEN,SoS_KEN,OppO_KEN,OppD_KEN,NSoS_KEN,Year_KEN,Team_ID_KEN,ORtg_REFA,DRtg_REFA,Pace_REFA,FTr_REFA,3PAr_REFA,TS%_REFA,TRB%_REFA,AST%_REFA,STL%_REFA,BLK%_REFA,OeFG%_REFA,OTOV%_REFA,ORB%_REFA,OFT/FGA_REFA,DeFG%_REFA,DTOV%_REFA,DRB%_REFA,DFT/FGA_REFA,Avg_Height_REFP,Avg_Weight_REFP,Avg_Year_REFP,CP_REFP,LP_REFP,GP_REFP,BP_REFP,Year_REFP,ID_REFP,FGM_O_REFN,FGA_O_REFN,FG%_O_REFN,3PM_O_REFN,3PA_O_REFN,3P%_O_REFN,FTM_O_REFN,FTA_O_REFN,FT%_O_REFN,ORB_O_REFN,TRB_O_REFN,AST_O_REFN,STL_O_REFN,BLK_O_REFN,TOV_O_REFN,PF_O_REFN,FGM_D_REFN,FGA_D_REFN,FG%_D_REFN,3PM_D_REFN,3PA_D_REFN,3P%_D_REFN,FTM_D_REFN,FTA_D_REFN,FT%_D_REFN,ORB_D_REFN,TRB_D_REFN,AST_D_REFN,STL_D_REFN,BLK_D_REFN,TOV_D_REFN,PF_D_REFN,ORtg_REFSTD,DRtg_REFSTD,Pace_REFSTD,FTr_REFSTD,3PAr_REFSTD,TS%_REFSTD,TRB%_REFSTD,AST%_REFSTD,STL%_REFSTD,BLK%_REFSTD,OeFG%_REFSTD,OTOV%_REFSTD,ORB%_REFSTD,OFT/FGA_REFSTD,DeFG%_REFSTD,DTOV%_REFSTD,DRB%_REFSTD,DFT/FGA_REFSTD,Years_COACH,Wins_COACH,Qual_COACH,SOS_COACH,TApp_COACH,Year_COACH,id_COACH
2011,194,21.8,11.4,10.4,0.7857142857142857,24,74,126.0,91.8,0.9742,56.3,48.3,15.8,23.2,35.7,28.4,37.1,20.6,52.9,46.9,42.3,34.0,32.7,34.6,63.8,11.7,194,2011,33.47,125.0,91.5,63.8,0.031,8.82,108.9,100.0,-4.08,2011,194,116.27204545454546,95.84920454545455,64.18943181818182,0.39661477272727275,0.3286,0.5898113636363637,53.520340909090905,54.19045454545454,9.762840909090908,10.223636363636363,0.5619284090909091,13.460795454545455,32.90409090909091,0.2775397727272727,0.49882045454545454,18.358863636363637,73.86295454545454,0.16820227272727273,6.431818181818182,215.1818181818182,2.2222222222222223,0.0,0.38327,0.61673,0.2034956304619226,2011,194,26.498863636363637,54.33295454545455,0.49118636363636364,7.5875,17.81477272727273,0.4131988636363636,14.336363636363636,20.542045454545455,0.6803011363636363,9.714772727272727,30.632954545454545,14.8625,6.401136363636364,3.4159090909090906,9.968181818181819,14.301136363636363,23.011363636363637,53.15568181818182,0.4359988636363636,6.625,19.03181818181818,0.34587840909090906,8.756818181818181,11.615909090909092,0.7491249999999999,7.380681818181818,26.056818181818183,11.425,4.138636363636364,3.5806818181818185,13.398863636363638,18.745454545454546,16.07898064612986,17.096716137981076,5.810821426067545,0.18498623842980433,0.07364419167162449,0.08349552684427472,8.104949735205654,14.214542314588016,4.1551028723582615,6.47882668352806,0.10727750912453161,4.997194408060581,11.225290515044462,0.144293177319723,0.09009424494923621,6.08223796136082,8.577936289748893,0.10035316017324397,7.0,292.0,16.244,6.512,8.0,2011,194
2011,2244,11.1,5.5,5.6,0.6,109,54,112.5,97.1,0.845,53.2,46.6,17.0,20.5,32.9,31.3,38.6,32.0,50.5,45.5,39.5,32.6,30.9,33.4,64.4,1.2,2244,2011,18.3,114.1,95.8,64.5,0.028,2.06,105.0,103.0,0.66,2011,2244,109.50642857142856,97.27252747252747,65.4867857142857,0.38504010989010984,0.30822005494505494,0.5605233516483517,51.035741758241755,53.76184065934066,9.537527472527472,8.704697802197803,0.5294030219780219,14.3510989010989,30.688296703296704,0.26811648351648354,0.4852192307692308,16.78532967032967,70.10725274725274,0.23042005494505494,6.41025641025641,210.6153846153846,2.555555555555556,0.0,0.49529,0.50471,0.2395693135935397,2011,2244,25.907692307692308,55.44752747252747,0.4690596153846154,6.646153846153846,17.038186813186815,0.39298571428571427,14.156868131868132,20.462637362637363,0.6826612637362637,9.49478021978022,31.202472527472526,13.926098901098902,6.3233516483516485,3.1258241758241763,10.997802197802198,17.388186813186813,23.042032967032966,53.95412087912088,0.42670659340659334,6.279945054945055,18.128846153846155,0.33496016483516483,12.284615384615385,18.35989010989011,0.6580497252747253,9.22142857142857,29.91456043956044,12.090659340659341,5.515384615384615,3.2936813186813185,12.607967032967032,19.21785714285714,11.736110613619656,18.516043291698033,3.959955526497237,0.18766806371633254,0.0725816277829459,0.06768318379763143,6.4535809954539305,11.67034917690441,4.099059715664639,4.876668780604433,0.07504563673913951,3.6541152051165287,10.223296592899057,0.14959847924055694,0.09416442270132493,5.35549844891805,7.608516782476957,0.10109517938120319,14.0,442.0,2.566,-0.121,4.0,2011,2244
2011,277,12.9,4.5,8.4,0.5294117647058824,5,8,115.5,95.2,0.9024,48.5,45.9,18.8,18.6,40.2,35.5,40.9,36.0,47.5,47.0,33.7,29.1,33.5,32.4,62.1,2.9,277,2011,20.11,114.9,94.8,62.5,-0.018,12.7,111.0,98.3,7.1,2011,277,104.01309523809523,100.28295238095238,65.43964285714286,0.41078309523809525,0.3423490476190476,0.5232778571428571,52.19311904761904,63.16992857142857,6.551380952380953,10.783285714285714,0.48081857142857143,15.72902380952381,37.44135714285714,0.29137214285714286,0.47672499999999995,15.08597619047619,67.66092857142857,0.25984785714285713,6.440476190476191,215.3571428571429,3.333333333333333,0.0,0.47952,0.52048,0.274768824306473,2011,277,23.056190476190473,54.5952380952381,0.4214969047619047,6.410238095238095,18.656190476190474,0.34315690476190475,15.726904761904763,22.16404761904762,0.7038995238095238,11.85047619047619,32.927142857142854,14.521904761904763,4.311428571428571,3.8659523809523804,12.123809523809523,18.254285714285714,23.05738095238095,54.841904761904765,0.42700000000000005,5.407857142857143,18.130238095238095,0.3016857142857143,13.884285714285713,19.996904761904762,0.6854592857142857,10.287857142857142,29.980714285714285,11.45952380952381,6.673095238095238,3.371190476190476,11.423571428571428,20.784285714285716,12.50488313710797,15.013763256466119,5.358120076815726,0.16878785770632584,0.09132388042764956,0.05870565702440155,6.69833340873276,12.954510300324444,2.9600400539878047,4.617139101743468,0.06221870029715074,3.7041745491956894,9.27759805971221,0.1306605015552392,0.08675099335733769,3.4905337353441754,9.701815668869786,0.1442544968050731,4.0,619.0,14.653,4.748,18.0,2011,277
2011,96,16.5,8.7,7.8,0.65,9,5,119.3,93.4,0.9437,52.3,44.2,16.1,18.2,34.3,30.7,36.1,30.1,48.8,42.4,39.7,32.4,32.4,29.7,64.8,5.2,96,2011,25.82,117.8,92.0,65.0,-0.044,9.81,108.4,98.5,4.46,2011,96,107.82284615384616,95.72635897435896,67.7883076923077,0.36012782051282055,0.3183911538461539,0.5481688461538461,52.763576923076926,47.04533333333333,8.054589743589744,15.363692307692308,0.5116225641025641,13.879371794871794,32.29416666666666,0.2608784615384615,0.45343999999999995,15.064589743589746,72.3810641025641,0.24606,6.533333333333333,219.7,2.111111111111111,0.0,0.32891,0.67109,0.1405835543766578,2011,96,25.834615384615383,57.59192307692308,0.45083076923076926,6.973076923076922,18.34692307692308,0.38184961538461537,14.654871794871795,20.348076923076924,0.7202761538461538,10.345256410256411,34.25089743589744,12.16551282051282,5.4991025641025635,6.198846153846154,10.777307692307692,16.788846153846155,22.980256410256413,57.138974358974366,0.4051305128205128,5.490512820512821,16.69717948717949,0.32385294871794873,13.679487179487179,18.675,0.7180094871794872,9.140256410256411,30.70576923076923,10.993717948717949,5.47948717948718,3.8923076923076922,11.721153846153847,18.05076923076923,12.403109840385191,12.832242076108827,5.38572212845689,0.1301296869266585,0.0616421381894641,0.06681013308890381,6.120358141790706,9.971625462631385,3.3585128880719908,5.717878925140026,0.07629114798135458,3.507485391211064,10.491325414912701,0.10852429243429397,0.07294081175799082,3.555817864119034,6.900912179175603,0.11324655876690572,2.0,509.0,14.973,5.159,12.0,2011,96
2011,2752,10.5,5.2,5.3,0.5,73,25,112.0,97.3,0.8345,51.2,46.5,18.2,18.9,32.4,27.7,44.5,35.0,52.0,44.2,32.9,33.9,30.9,35.2,64.5,2.4,2752,2011,16.02,112.8,96.8,64.3,0.035,4.49,105.4,100.9,6.02,2011,2752,103.61636363636364,95.43242424242425,66.33742424242423,0.4645106060606061,0.30807878787878784,0.5548166666666666,52.28772727272727,48.82515151515152,7.484848484848485,8.477878787878788,0.5050727272727273,16.814393939393938,29.17,0.3494833333333333,0.46052878787878787,15.93909090909091,73.58378787878789,0.26998030303030307,6.493589743589744,210.6153846153846,2.6666666666666665,0.15747,0.27725,0.56528,0.1453566621803499,2011,2752,23.348484848484848,51.263636363636365,0.45595151515151516,5.001515151515152,15.73939393939394,0.31639696969696973,17.637878787878787,23.406060606060606,0.7451363636363637,8.283333333333333,31.42727272727273,11.793939393939393,5.0,3.012121212121212,12.56818181818182,17.72878787878788,21.69242424242424,54.125757575757575,0.40319090909090904,6.17878787878788,18.525757575757577,0.3417227272727273,14.119696969696971,19.527272727272727,0.7156590909090907,8.372727272727271,28.445454545454545,12.684848484848485,5.7257575757575765,3.33030303030303,11.996969696969696,20.28181818181818,16.95516740150044,13.662286211177433,4.105374869921217,0.1420098779787814,0.08154753215150044,0.07920689908652671,8.185263484241153,14.808300582073292,3.470050431910176,4.849326524573849,0.08557186660835854,4.811343074175792,10.273641107849896,0.12396949010061487,0.07763483977425466,4.420366172250236,11.793918864288464,0.12540331306396715,2.0,50.0,14.055,5.175,1.0,2011,2752
2011,183,14.6,7.2,7.3,0.5333333333333333,27,115,115.0,93.2,0.9178,53.2,45.2,18.8,20.7,36.6,33.5,35.9,29.7,52.9,44.4,35.8,31.1,31.5,38.5,64.9,6.0,183,2011,22.49,114.9,92.4,64.6,0.032,9.03,108.3,99.3,-2.31,2011,183,104.17315789473685,93.33296992481203,67.3784962406015,0.3826921052631579,0.31517744360902256,0.5519492481203008,51.223909774436095,58.76011278195489,12.375075187969925,16.667518796992482,0.5283755639097745,16.66759398496241,32.393984962406016,0.2506654135338346,0.4531109022556391,16.8159022556391,67.85744360902257,0.21472857142857144,6.431372549019607,206.05882352941177,2.0,0.05528,0.54423,0.40049,0.2923832923832924,2011,183,25.750375939849626,55.25939849624059,0.47186428571428574,6.1721804511278195,17.2703007518797,0.35473872180451127,13.151127819548872,20.065037593984965,0.6472890977443609,9.86466165413534,32.42481203007519,15.221052631578946,8.41203007518797,5.950751879699248,12.774436090225564,15.702631578947368,22.51954887218045,57.18571428571428,0.39629774436090226,6.403383458646617,21.149624060150373,0.3068289473684211,11.978947368421053,17.525187969924808,0.6669819548872181,10.731203007518797,30.978947368421053,14.132706766917291,6.798496240601503,2.969924812030075,13.203007518796992,17.168796992481205,14.72962087402242,15.126025210063027,5.157230381714978,0.20039318494257374,0.07386716444532901,0.08758872572397419,6.422570495113765,11.375457881633016,4.347020615926973,7.349233081809033,0.09353815560840319,4.843144682968708,10.081513991943268,0.14348155973222926,0.09044118753842934,4.138125666725631,7.087286522506397,0.10923588692181997,35.0,856.0,15.364,6.603,27.0,2011,183
2011,264,13.5,13.7,-0.2,0.375,57,40,118.4,97.1,0.9066,53.7,46.4,16.8,20.4,37.7,31.9,31.5,44.0,52.5,45.3,37.1,32.8,36.3,27.7,70.4,1.7,264,2011,21.69,117.7,96.0,69.9,-0.099,7.21,106.9,99.7,1.07,2011,264,108.59173295454545,96.37676136363636,72.955625,0.32401164772727276,0.3659690340909091,0.5525440340909091,52.91894886363636,54.920795454545456,8.287073863636364,10.8728125,0.5252647727272727,14.773210227272727,35.168096590909094,0.22345539772727274,0.4633196022727273,16.421931818181818,70.21110795454545,0.3076903409090909,6.409722222222222,208.3333333333333,2.7777777777777777,0.05044,0.3432,0.60636,0.356359649122807,2011,264,29.069602272727273,62.92869318181818,0.45959517045454545,8.355113636363637,22.982670454545456,0.3556784090909091,13.669318181818182,19.920738636363637,0.6925494318181817,11.599147727272728,35.330113636363635,16.08778409090909,6.155681818181818,4.636647727272727,12.617329545454545,20.741477272727273,24.244318181818183,57.67045454545455,0.4198494318181818,5.075852272727273,15.87528409090909,0.3086034090909091,17.460511363636364,25.890625,0.6840872159090909,10.027556818181818,31.124147727272728,11.426420454545456,6.436931818181819,2.926988636363636,13.836931818181819,18.394034090909088,16.32093824539766,10.705863468447653,6.910595931933352,0.14798448703618006,0.07637169170653252,0.07779851157548802,7.280517342408385,10.66876379944759,3.4107048484184626,6.360038052843194,0.08921953850149734,4.457826655153267,9.414455182672793,0.10720440697074714,0.06344527185699818,4.287621424402065,8.771073542756152,0.10446251388284072,9.0,288.0,10.109,5.919,6.0,2011,264
2011,153,15.4,11.2,4.2,0.6470588235294118,12,9,112.7,90.7,0.9242,49.1,46.2,18.3,19.6,37.1,30.1,37.9,24.8,49.1,44.4,32.8,33.1,25.0,34.5,70.4,7.3,153,2011,22.18,111.8,89.6,70.6,0.064,11.14,109.9,98.8,6.01,2011,153,103.14000000000001,93.51650000000001,73.61016666666667,0.3885166666666667,0.25004333333333334,0.5215916666666667,54.005,52.217666666666666,8.413499999999999,13.175833333333333,0.4839566666666667,15.299166666666666,34.8145,0.2665833333333333,0.47124,16.595333333333333,72.01916666666666,0.16138333333333332,6.421875,202.3125,2.111111111111111,0.0,0.58374,0.41626,0.3009708737864078,2011,153,27.486666666666668,61.72333333333333,0.4432833333333333,5.053333333333333,15.413333333333334,0.318735,16.221666666666668,23.67,0.6826966666666667,12.041666666666668,38.653333333333336,14.658333333333331,6.200000000000001,5.293333333333333,13.163333333333334,16.134999999999998,25.825000000000003,62.75999999999999,0.41197666666666666,7.333333333333334,21.523333333333333,0.34309999999999996,9.978333333333333,15.311666666666667,0.6546266666666667,10.46,32.974999999999994,13.058333333333334,7.465,3.2483333333333335,13.95,19.678333333333335,14.987965642945483,12.091813426941053,6.106571068137193,0.13006312858538127,0.07166178487458577,0.07096734011757355,4.941911825649309,11.975619627621171,3.5539028159511092,6.311427264423961,0.08521311386620474,4.26607188985012,7.788590831925062,0.10176241983212708,0.07288494161838036,3.789785940851736,7.377274169649259,0.07695692215693056,8.0,643.0,21.853,9.277,20.0,2011,153
2011,150,19.0,13.7,5.3,0.7647058823529411,26,31,120.6,91.5,0.96,53.7,44.5,17.2,21.0,35.1,33.2,37.4,29.6,52.5,43.1,37.4,32.4,35.3,24.5,68.5,9.3,150,2011,28.42,119.7,91.3,68.6,0.017,8.43,107.3,98.9,3.48,2011,150,111.66247058823528,92.88426470588234,71.39205882352941,0.36649323529411765,0.3638558823529412,0.5734020588235295,51.714205882352935,48.14379411764706,9.7925,9.185529411764705,0.5353035294117647,14.517382352941176,32.530352941176474,0.27698941176470593,0.4539805882352941,16.862058823529413,68.93417647058823,0.20717617647058822,6.506944444444444,214.5833333333333,2.333333333333333,0.0,0.39381,0.60619,0.3404482390608324,2011,150,27.878235294117648,59.214705882352945,0.47095882352941176,7.6370588235294115,21.57205882352941,0.3590520588235295,16.36764705882353,21.63264705882353,0.748410588235294,10.141176470588235,33.80676470588236,13.58529411764706,7.04,4.251176470588235,11.865882352941178,18.11264705882353,24.604705882352942,59.565000000000005,0.4138585294117647,4.776470588235295,14.005294117647061,0.3540508823529412,12.236176470588234,18.568529411764708,0.6572370588235295,10.730294117647059,31.66735294117647,11.925588235294118,5.563235294117647,2.592941176470588,13.899117647058823,19.63529411764706,12.92928503094473,15.963315678374823,5.583916199238677,0.1272929809651852,0.08636899677316857,0.059749250815160616,5.3486168962361385,11.588628318584831,4.036611726960402,4.759204768659363,0.0671696230319797,4.4298774039259605,7.516742074290657,0.1002002499502376,0.07821316256742722,5.168412956845892,8.601925547406411,0.09144046619992083,31.0,900.0,17.707,7.438,26.0,2011,150
2011,130,9.1,1.4,7.7,0.3333333333333333,7,29,112.8,94.8,0.8807,52.3,48.9,16.2,18.8,25.2,29.3,26.7,30.4,51.7,49.4,35.3,32.0,43.0,37.5,61.2,1.6,130,2011,17.69,112.8,95.1,61.5,-0.014,12.0,110.7,98.7,-1.19,2011,130,102.06886842105263,100.2655,62.28318421052632,0.2551592105263158,0.43117315789473687,0.5329934210526315,47.06852631578947,53.94573684210526,8.043973684210526,4.786263157894736,0.5084092105263158,13.260789473684211,23.084684210526316,0.1793221052631579,0.5033413157894737,16.336263157894738,72.25478947368421,0.21542947368421056,6.422619047619048,213.92857142857144,1.6666666666666667,0.0295,0.24779,0.72271,0.2020648967551622,2011,130,23.393421052631577,53.99815789473685,0.43487157894736844,7.821578947368421,23.22921052631579,0.34049342105263153,9.38,13.352368421052631,0.6585492105263158,7.187894736842106,28.201842105263157,12.72578947368421,5.087105263157895,1.5578947368421052,9.257105263157895,17.279999999999998,22.917105263157897,51.91473684210526,0.44430473684210525,6.06421052631579,19.399736842105263,0.31461815789473685,10.833421052631579,15.78736842105263,0.6824442105263158,7.971052631578948,31.277894736842104,13.307631578947369,4.30078947368421,3.238947368421053,11.647105263157895,15.978421052631578,14.460916902017619,16.333640596206667,4.783474704866834,0.1708658720121938,0.08633324140462105,0.07724258415357871,7.996541269130521,10.60133018449441,3.2209216281141924,4.582007192919538,0.08505157110776472,4.52448056352858,9.694302233699924,0.1149527999593198,0.0981703030623892,4.560978075852082,8.027450802499796,0.1072891561398918,4.0,360.0,6.057,3.245,5.0,2011,130
