Seed1,Team1,Team1_id,Seed2,Team2,Team2_id,Winner,Winner_id,Year
11,NC State,152,2,Kansas,2305,0,2305,2012
1,Kentucky,96,3,Baylor,239,1,96,2012
4,Louisville,97,7,Florida,57,1,97,2012
1,Syracuse,183,2,Ohio State,194,0,194,2012
1,North Carolina,153,2,Kansas,2305,0,2305,2012
1,Kentucky,96,4,Louisville,97,1,96,2012
2,Ohio State,194,2,Kansas,2305,0,2305,2012
1,Kentucky,96,2,Kansas,2305,1,96,2012
1,Louisville,97,16,NC A&T,2448,1,97,2013
8,Colorado St,36,9,Missouri,142,1,36,2013
5,Oklahoma St,197,12,Oregon,2483,0,2483,2013
4,Saint Louis,139,13,New Mexico St,166,1,139,2013
6,Memphis,235,11,Saint Mary's,2608,1,235,2013
3,Michigan St,127,14,Valparaiso,2674,1,127,2013
7,Creighton,156,10,Cincinnati,2132,1,156,2013
2,Duke,150,15,UAlbany,399,1,150,2013
1,Gonzaga,2250,16,Southern,2582,1,2250,2013
8,Pitt,221,9,Wichita St,2724,0,2724,2013
5,Wisconsin,275,12,Ole Miss,145,0,145,2013
4,Kansas St,2306,13,La Salle,2325,0,2325,2013
6,Arizona,12,11,Belmont,2057,1,12,2013
3,New Mexico,167,14,Harvard,108,0,108,2013
7,Notre Dame,87,10,Iowa State,66,0,66,2013
2,Ohio State,194,15,Iona,314,1,194,2013
1,Kansas,2305,16,Western KY,98,1,2305,2013
8,North Carolina,153,9,Villanova,222,1,153,2013
5,VCU,2670,12,Akron,2006,1,2670,2013
4,Michigan,130,13,S Dakota St,2571,1,130,2013
6,UCLA,26,11,Minnesota,135,0,135,2013
3,Florida,57,14,N'Western St,2466,1,57,2013
7,San Diego St,21,10,Oklahoma,201,1,21,2013
2,Georgetown,46,15,FGCU,526,0,526,2013
1,Indiana,84,16,James Madison,256,1,84,2013
8,NC State,152,9,Temple,218,0,218,2013
5,UNLV,2439,12,California,25,0,25,2013
4,Syracuse,183,13,Montana,149,1,183,2013
6,Butler,2086,11,Bucknell,2083,1,2086,2013
3,Marquette,269,14,Davidson,2166,1,269,2013
7,Illinois,356,10,Colorado,38,1,356,2013
2,Miami,2390,15,Pacific,279,1,2390,2013
1,Louisville,97,8,Colorado St,36,1,97,2013
12,Oregon,2483,4,Saint Louis,139,1,2483,2013
6,Memphis,235,3,Michigan St,127,0,127,2013
7,Creighton,156,2,Duke,150,0,150,2013
1,Gonzaga,2250,9,Wichita St,2724,0,2724,2013
12,Ole Miss,145,13,La Salle,2325,0,2325,2013
6,Arizona,12,14,Harvard,108,1,12,2013
10,Iowa State,66,2,Ohio State,194,0,194,2013
1,Kansas,2305,8,North Carolina,153,1,2305,2013
5,VCU,2670,4,Michigan,130,0,130,2013
11,Minnesota,135,3,Florida,57,0,57,2013
7,San Diego St,21,15,FGCU,526,0,526,2013
1,Indiana,84,9,Temple,218,1,84,2013
12,California,25,4,Syracuse,183,0,183,2013
6,Butler,2086,3,Marquette,269,0,269,2013
7,Illinois,356,2,Miami,2390,0,2390,2013
1,Louisville,97,12,Oregon,2483,1,97,2013
3,Michigan St,127,2,Duke,150,0,150,2013
9,Wichita St,2724,13,La Salle,2325,1,2724,2013
6,Arizona,12,2,Ohio State,194,0,194,2013
1,Kansas,2305,4,Michigan,130,0,130,2013
3,Florida,57,15,FGCU,526,1,57,2013
1,Indiana,84,4,Syracuse,183,0,183,2013
3,Marquette,269,2,Miami,2390,1,269,2013
1,Louisville,97,2,Duke,150,1,97,2013
9,Wichita St,2724,2,Ohio State,194,1,2724,2013
4,Michigan,130,3,Florida,57,1,130,2013
4,Syracuse,183,3,Marquette,269,1,183,2013
1,Louisville,97,9,Wichita St,2724,1,97,2013
4,Michigan,130,4,Syracuse,183,1,130,2013
1,Louisville,97,4,Michigan,130,1,97,2013
1,Florida,57,16,UAlbany,399,1,57,2014
8,Colorado,38,9,Pitt,221,0,221,2014
5,VCU,2670,12,SF Austin,2617,0,2617,2014
4,UCLA,26,13,Tulsa,202,1,26,2014
6,Ohio State,194,11,Dayton,2168,0,2168,2014
3,Syracuse,183,14,W Michigan,2711,1,183,2014
7,New Mexico,167,10,Stanford,24,0,24,2014
2,Kansas,2305,15,E Kentucky,2198,1,2305,2014
1,Virginia,258,16,Coastal Car,324,1,258,2014
8,Memphis,235,9,G Washington,45,1,235,2014
5,Cincinnati,2132,12,Harvard,108,0,108,2014
4,Michigan St,127,13,Delaware,48,1,127,2014
6,North Carolina,153,11,Providence,2507,1,153,2014
3,Iowa State,66,14,NC Central,2428,1,66,2014
7,UConn,41,10,Saint Joseph's,2603,1,41,2014
2,Villanova,222,15,Milwaukee,270,1,222,2014
1,Arizona,12,16,Weber St,2692,1,12,2014
